Code,Name,Name2,FieldCount,IsDoor,IsStulp,PostType,OpeningPerField
F303,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-L | F2: R-SBP-L | F3: UR-SC-P
F303E,"Okno 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: R-Pz | F2: R-SBP-Pz | F3: R-SC-Lz
F304,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: FIX | F3: UR-P
F304E,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: R-Pz | F2: FIX-Sz | F3: R-Lz
F307,"Okno 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F309,"Okno 3 kw. w pionie","",3,No,No,Transom,F1: FIX | F2: UR-P | F3: FIX
F309EI,"Okno 3 kw.","",3,No,No,Transom,F1: FIX | F2: FIX | F3: FIX
F350,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: UR-L | F2: UR-P | F3: FIX
F351,"Okno 3 kw. słupek ruchomy","",3,No,No,Transom + Vertical Mullion,F1: R-SBP-L | F2: UR-SC-P | F3: FIX
F352,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: UR-L | F3: UR-P
F353,"Okno 3 kw. słupek ruchomy","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: R-SBP-L | F3: UR-SC-P
F354,"Okno 3 kw.","",3,No,No,Vertical Mullion + Transom,F1: FIX | F2: UR-L | F3: FIX
F355,"Okno 3 kw.","",3,No,No,Vertical Mullion + Transom,F1: FIX | F2: FIX | F3: UR-P
F357,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F358,"Okno 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F370,"Balkon 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-P | F3: UR-P
F370EI,"Okno 3 kw.","",3,No,No,Vertical Mullion,F1: FIX | F2: FIX | F3: FIX
F371,"Balkon 3 kw. słupek stały","",3,No,No,Vertical Mullion,F1: UR-L | F2: R-L | F3: UR-P
F372,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-SC-L | F2: R-SBP-P | F3: UR-P
F373,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Vertical Mullion + Movable Post (Stulp),F1: UR-L | F2: R-SBP-L | F3: UR-SC-P
F380,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX | F2: R-SBP-L | F3: UR-SC-P
F380E,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX-Sz | F2: R-SBP-Pz | F3: R-SC-Lz
F381E,"Balkon 3 kw. słupek ruchomy","",3,No,Yes,Transom + Vertical Mullion + Movable Post (Stulp),F1: FIX-Sz | F2: R-SC-Pz | F3: R-SBP-Lz
F384,"Balkon 3 kw. słupek stały","",3,No,No,Transom + Vertical Mullion,F1: FIX | F2: UR-L | F3: UR-P
F400,"Okno 4 kw. słupek stały","",4,No,No,Vertical Mullion,F1: UR-L | F2: R-L | F3: R-P | F4: UR-P
F401,"Okno 4 kw. słupek ruchomy na środku","",4,No,No,Vertical Mullion,F1: UR-L | F2: R-SBP-L | F3: UR-SC-P | F4: UR-P
F402,"Okno 4 kw. słupek ruchomy z lewej","",4,No,No,Vertical Mullion,F1: UR-SC-L | F2: R-SBP-P | F3: UR-P | F4: UR-P
F403,"Okno 4 kw. słupek ruchomy z prawej","",4,No,No,Vertical Mullion,F1: UR-L | F2: UR-L | F3: R-SBP-L | F4: UR-SC-P
F450,"Okno 4 kw.","",4,No,No,Transom + Vertical Mullion + Vertical Mullion,F1: UR-L | F2: UR-P | F3: FIX | F4: FIX
F450EI,"Okno 4 kw.","",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: FIX
F451,"Okno 4 kw.","",4,No,Yes,Transom + Vertical Mullion + Vertical Mullion + Movable Post (Stulp),F1: R-SBP-L | F2: UR-SC-P | F3: FIX | F4: FIX
F452,"Okno 4 kw.","",4,No,No,Transom + Vertical Mullion + Vertical Mullion,F1: R-L | F2: UR-P | F3: R-L | F4: UR-P
F453,"Okno 4 kw.","",4,No,No,Transom + Vertical Mullion + Vertical Mullion,F1: R-SBP-L | F2: UR-SC-P | F3: R-SBP-L | F4: UR-SC-P
F457,"Okno 4 kw. słupek stały","",4,No,No,Vertical Mullion + Transom + Transom,F1: FIX | F2: FIX | F3: FIX | F4: FIX
FS202,"Drzwi harmonijkowe 2 kw. otw. na prawo","",2,Yes,No,Vertical Mullion,F1: FS-PWS | F2: FS-PW
FS202Z,"Drzwi harmonijkowe 2 kw. otw. na prawo","",2,Yes,No,Vertical Mullion,F1: FS-PZS | F2: FS-PZ
FS220,"Drzwi harmonijkowe 2 kw. otw. na lewo","",2,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS
FS220Z,"Drzwi harmonijkowe 2 kw. otw. na lewo","",2,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS
FS303,"Drzwi harmonijkowe 3 kw. otw. na prawo","",3,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS | F3: FS-PW
FS303Z,"Drzwi harmonijkowe 3 kw. otw. na prawo","",3,Yes,No,Vertical Mullion,F1: FS-PZ | F2: FS-PZS | F3: FS-PZ
FS312,"Drzwi harmonijkowe 3 kw. (1 kw. rozw + 2 kw. otw. na prawo)","",3,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PW
FS312Z,"Drzwi harmonijkowe 3 kw. (1 kw. rozw + 2 kw. otw. na prawo)","",3,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZ
FS321,"Drzwi harmonijkowe 3 kw. (2 kw. otw. na lewo + 1 kw. rozw.)","",3,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-R-PW
FS321Z,"Drzwi harmonijkowe 3 kw. (2 kw. otw. na lewo + 1 kw. rozw.)","",3,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-R-PZ
FS330,"Drzwi harmonijkowe 3 kw. otw. na lewo","",3,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW
FS330Z,"Drzwi harmonijkowe 3 kw. otw. na lewo","",3,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ
FS404,"Drzwi harmonijkowe 4 kw. otw. na prawo","",4,Yes,No,Vertical Mullion,F1: FS-PWS | F2: FS-PW | F3: FS-PWS2 | F4: FS-PW
FS404Z,"Drzwi harmonijkowe 4 kw. otw. na prawo","",4,Yes,No,Vertical Mullion,F1: FS-PZS | F2: FS-PZ | F3: FS-PZS2 | F4: FS-PZ
FS413,"Drzwi harmonijkowe 4 kw. (1 kw. rozw + 3 kw. otw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PWS | F4: FS-PW
FS413Z,"Drzwi harmonijkowe 4 kw. (1 kw. rozw + 3 kw. otw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZS | F4: FS-PZ
FS422,"Drzwi harmonijkowe 4 kw. (2 kw. na lewo + 2 kw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PWS | F4: FS-PW
FS422Z,"Drzwi harmonijkowe 4 kw. (2 kw. na lewo + 2 kw. na prawo)","",4,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZS | F4: FS-PZ
FS431,"Drzwi harmonijkowe 4 kw. (3 kw. otw. na lewo + 1 kw. rozw.)","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LWS | F4: FS-R-PW
FS431Z,"Drzwi harmonijkowe 4 kw. (3 kw. otw. na lewo + 1 kw. rozw.)","",4,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZS | F4: FS-R-PZ
FS440,"Drzwi harmonijkowe 4 kw. otw. na lewo","",4,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS2 | F3: FS-LW | F4: FS-LWS
FS440Z,"Drzwi harmonijkowe 4 kw. otw. na lewo","",4,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS2 | F3: FS-LZ | F4: FS-LZS
FS505,"Drzwi harmonijkowe 5 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW
FS505Z,"Drzwi harmonijkowe 5 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZ | F2: FS-PZS | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ
FS514,"Drzwi harmonijkowe 5 kw. (1 kw. rozw + 4 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW
FS514Z,"Drzwi harmonijkowe 5 kw. (1 kw. rozw + 4 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ
FS523,"Drzwi harmonijkowe 5 kw. (2 kw. na lewo + 3 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PW | F4: FS-PWS | F5: FS-PW
FS523Z,"Drzwi harmonijkowe 5 kw. (2 kw. na lewo + 3 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZ | F4: FS-PZS | F5: FS-PZ
FS532,"Drzwi harmonijkowe 5 kw. (3 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-PWS | F5: FS-PW
FS532Z,"Drzwi harmonijkowe 5 kw. (3 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-PZS | F5: FS-PZ
FS541,"Drzwi harmonijkowe 5 kw. (4 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS2 | F3: FS-LW | F4: FS-LWS | F5: FS-R-PW
FS541Z,"Drzwi harmonijkowe 5 kw. (4 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS2 | F3: FS-LZ | F4: FS-LZS | F5: FS-R-PZ
FS550,"Drzwi harmonijkowe 5 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS2 | F3: FS-LW | F4: FS-LWS | F5: FS-LW
FS550Z,"Drzwi harmonijkowe 5 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS2 | F3: FS-LZ | F4: FS-LZS | F5: FS-LZ
FS606,"Drzwi harmonijkowe 6 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PWS3 | F2: FS-PW | F3: FS-PWS2 | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS606Z,"Drzwi harmonijkowe 6 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZS3 | F2: FS-PZ | F3: FS-PZS2 | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS615,"Drzwi harmonijkowe 6 kw. (1 kw. rozw + 5 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS | F3: FS-PWS2 | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS615Z,"Drzwi harmonijkowe 6 kw. (1 kw. rozw + 5 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS | F3: FS-PZS2 | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS624,"Drzwi harmonijkowe 6 kw. (2 kw. na lewo + 4 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PWS2 | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS624Z,"Drzwi harmonijkowe 6 kw. (2 kw. na lewo + 4 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZS2 | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS633L,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Lewe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-PWS | F5: FS-PWS | F6: FS-PW
FS633LZ,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Lewe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-PZS | F5: FS-PZS | F6: FS-PZ
FS633P,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Prawe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LWS | F4: FS-PW | F5: FS-PWS | F6: FS-PW
FS633PZ,"Drzwi harmonijkowe 6 kw. (3 kw. na lewo + 3 kw. na prawo)","Prawe wiodące",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZS | F4: FS-PZ | F5: FS-PZS | F6: FS-PZ
FS642,"Drzwi harmonijkowe 6 kw. (4 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-PWS | F6: FS-PW
FS642Z,"Drzwi harmonijkowe 6 kw. (4 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-PZS | F6: FS-PZ
FS651,"Drzwi harmonijkowe 6 kw. (5 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LWS | F6: FS-R-PW
FS651Z,"Drzwi harmonijkowe 6 kw. (5 kw. otw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZS | F6: FS-R-PZ
FS660,"Drzwi harmonijkowe 6 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3
FS660Z,"Drzwi harmonijkowe 6 kw. otw. na lewo","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-LZS3
FS707,"Drzwi harmonijkowe 7 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PW | F2: FS-PWS3 | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW | F6: FS-PWS | F7: FS-PW
FS707Z,"Drzwi harmonijkowe 7 kw. otw. na prawo","",99,Yes,No,Vertical Mullion,F1: FS-PZ | F2: FS-PZS3 | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ | F6: FS-PZS | F7: FS-PZ
FS716,"Drzwi harmonijkowe 7 kw. (1 kw. rozw + 6 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LW | F2: FS-PWS3 | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW | F6: FS-PWS | F7: FS-PW
FS716Z,"Drzwi harmonijkowe 7 kw. (1 kw. rozw + 6 kw. otw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-R-LZ | F2: FS-PZS3 | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ | F6: FS-PZS | F7: FS-PZ
FS725,"Drzwi harmonijkowe 7 kw. (2 kw. na lewo + 5 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-PW | F4: FS-PWS2 | F5: FS-PW | F6: FS-PWS | F7: FS-PW
FS725Z,"Drzwi harmonijkowe 7 kw. (2 kw. na lewo + 5 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-PZ | F4: FS-PZS2 | F5: FS-PZ | F6: FS-PZS | F7: FS-PZ
FS752,"Drzwi harmonijkowe 7 kw. (5 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-PWS | F7: FS-PW
FS752Z,"Drzwi harmonijkowe 7 kw. (5 kw. na lewo + 2 kw. na prawo)","",99,Yes,No,Vertical Mullion,F1: FS-LZ | F2: FS-LZS | F3: FS-LZ | F4: FS-LZS2 | F5: FS-LZ | F6: FS-PZS | F7: FS-PZ
FS761,"Drzwi harmonijkowe 7 kw. (6 kw. na lewo + 1 kw. rozw.)","",99,Yes,No,Vertical Mullion,F1: FS-LW | F2: FS-LWS | F3: FS-LW | F4: FS-LWS2 | F5: FS-LW | F6: FS-LWS3 | F7: FS-R-PW
